epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.876,5.26881,18.8314,4.24087,0,0,0,0,6.34578,4.72763,4.09936,0.000150444,0.000150444,0.000150444
2,137.517,4.07389,8.69985,2.9596,0.83371,0.01386,0.01091,0.00265,3.13534,4.09428,2.32338,0.000299119,0.000299119,0.000299119
3,172.671,2.75028,5.00323,2.15379,0.22865,0.13887,0.1144,0.04473,2.50445,3.24448,2.00467,0.000444792,0.000444792,0.000444792
4,207.29,2.13339,3.75045,1.75952,0.25033,0.23068,0.18663,0.1051,1.89502,2.51892,1.58976,0.000441486,0.000441486,0.000441486
5,242.362,1.83342,3.15384,1.5616,0.26068,0.44637,0.27311,0.14945,1.62498,2.32288,1.50165,0.000436982,0.000436982,0.000436982
6,277.69,1.61732,2.73344,1.39887,0.33407,0.42415,0.37083,0.22855,1.46826,2.0192,1.42104,0.000432478,0.000432478,0.000432478
7,313.373,1.57545,2.48135,1.36996,0.3363,0.60814,0.43418,0.28586,1.29533,1.82016,1.25828,0.000427973,0.000427973,0.000427973
8,347.624,1.44736,2.28683,1.29552,0.28298,0.63697,0.40259,0.27254,1.2875,1.75944,1.23561,0.000423468,0.000423468,0.000423468
9,382.316,1.37987,2.13374,1.25056,0.40738,0.65213,0.53413,0.3932,1.1136,1.52207,1.16065,0.000418964,0.000418964,0.000418964
10,416.644,1.321,1.96695,1.2214,0.41341,0.72748,0.58169,0.42341,1.09706,1.46177,1.13199,0.00041446,0.00041446,0.00041446
11,450.198,1.28315,1.84741,1.17566,0.494,0.65698,0.62637,0.4533,1.08833,1.37314,1.1299,0.000409955,0.000409955,0.000409955
12,483.709,1.25356,1.73499,1.17327,0.52981,0.68425,0.64133,0.48198,1.03179,1.34958,1.10539,0.000405451,0.000405451,0.000405451
13,517.476,1.22867,1.6868,1.15858,0.47163,0.72729,0.65577,0.48878,1.032,1.33804,1.11174,0.000400946,0.000400946,0.000400946
14,550.702,1.21056,1.62193,1.13849,0.59237,0.75447,0.73803,0.53263,1.09419,1.2147,1.09923,0.000396441,0.000396441,0.000396441
15,583.851,1.16587,1.52279,1.12533,0.57073,0.80003,0.71795,0.53323,0.97152,1.24282,1.08582,0.000391937,0.000391937,0.000391937
16,616.981,1.16553,1.4816,1.11603,0.62259,0.81354,0.74857,0.50655,1.19724,1.19708,1.16581,0.000387433,0.000387433,0.000387433
17,649.74,1.13651,1.43187,1.10117,0.63087,0.78453,0.79146,0.61406,0.95409,1.14692,1.05912,0.000382928,0.000382928,0.000382928
18,682.89,1.13204,1.37041,1.0948,0.75569,0.77303,0.84956,0.6567,0.9723,1.06139,1.03103,0.000378423,0.000378423,0.000378423
19,716.325,1.10317,1.31665,1.08005,0.6086,0.80825,0.79379,0.61016,0.95197,1.13165,1.04562,0.000373919,0.000373919,0.000373919
20,749.255,1.10568,1.28879,1.08014,0.81934,0.85077,0.85569,0.6604,0.9356,0.99063,1.03522,0.000369415,0.000369415,0.000369415
21,782.599,1.06262,1.2278,1.06779,0.8034,0.80787,0.86038,0.67774,0.915,0.94716,1.04634,0.00036491,0.00036491,0.00036491
22,816.764,1.07194,1.23085,1.07431,0.81849,0.81819,0.88653,0.70116,0.88454,0.89731,1.02363,0.000360406,0.000360406,0.000360406
23,849.99,1.04913,1.1484,1.05365,0.76698,0.7756,0.88553,0.67215,0.94265,1.00086,1.02956,0.000355901,0.000355901,0.000355901
24,883.171,1.04759,1.15315,1.04561,0.80063,0.79301,0.88494,0.67544,0.95378,0.93855,1.03498,0.000351396,0.000351396,0.000351396
25,922.164,1.02439,1.10229,1.04348,0.85926,0.81137,0.91744,0.72154,0.89189,0.83295,1.01294,0.000346892,0.000346892,0.000346892
26,965.803,1.01555,1.07717,1.03202,0.82103,0.86173,0.92951,0.73465,0.87788,0.85459,1.01529,0.000342387,0.000342387,0.000342387
27,1003.3,0.99625,1.06986,1.03753,0.85439,0.88291,0.91057,0.7289,0.84165,0.80474,1.00211,0.000337883,0.000337883,0.000337883
28,1038.08,1.00142,1.03358,1.02339,0.78154,0.83062,0.90302,0.68929,0.93304,0.83967,1.03748,0.000333379,0.000333379,0.000333379
29,1072.29,0.99814,1.01576,1.03281,0.83008,0.8611,0.90753,0.7051,0.91506,0.80287,1.01177,0.000328874,0.000328874,0.000328874
30,1106.09,0.9728,0.96472,1.02361,0.86572,0.8604,0.93703,0.75585,0.82222,0.79754,0.9861,0.000324369,0.000324369,0.000324369
31,1139.02,0.94825,0.93745,1.01623,0.83909,0.89994,0.94104,0.76082,0.80762,0.74905,1,0.000319865,0.000319865,0.000319865
32,1172.37,0.94219,0.93403,1.00122,0.87122,0.91038,0.95245,0.77454,0.81461,0.74495,0.9982,0.00031536,0.00031536,0.00031536
33,1205.35,0.96305,0.92324,1.01336,0.91604,0.92659,0.95962,0.78696,0.76689,0.67375,0.97717,0.000310856,0.000310856,0.000310856
34,1238.3,0.93418,0.9114,1.01009,0.88474,0.90857,0.95669,0.78196,0.78027,0.68581,0.97612,0.000306351,0.000306351,0.000306351
